Object	Pr[possible]	Pr[verylikely]	Pr[likely]	Pr[unlikely]	Pr[veryunlikely]	DS Cost	MajorityVote Cost	NoVote Cost
Abdul Qayyum Khan:Mazhar Qayyum Khan	0.70778	0.0	0.00842	0.28247	0.00133	0.42586978940000003	1.5000000000000007	1.3505112869140814
Abdul Qayyum Khan:Naeem Khan	0.00746	0.0	0.0	0.47965	0.51289	0.5144763926	1.3200000000000003	1.3505112869140814
Abdul Qayyum:Abdol	0.69844	0.0	0.00188	0.2982	0.00148	0.42645234560000006	1.4600000000000004	1.3505112869140814
Abdul Qayyum:Abdul Aziz	0.29793	0.0	8.1E-4	0.69115	0.0101	0.4405972996	1.6200000000000006	1.3505112869140814
Abdul Qayyum:Abdul Qayyum Khosa	1.0E-5	0.01762	0.98237	0.0	0.0	0.034639070999999994	1.0800000000000003	1.3505112869140814
Abdul Qayyum:Abdul Qayyum Valki	0.0	0.16176	0.83824	0.0	0.0	0.2711874048	0.6800000000000002	1.3505112869140814
Abdul Qayyum:Abdullatif	0.01655	0.0	0.0	0.70076	0.28268	0.4380902456	1.5800000000000007	1.3505112869140814
Abdul Qayyum:Asim Qayyum	0.62888	0.0	0.03003	0.33877	0.00232	0.5123808571999999	1.32	1.3505112869140814
Abdul Qayyum:Bilal Qayyum	0.06329	0.0	0.0	0.92853	0.00818	0.134794927	1.3400000000000005	1.3505112869140814
Abdul Qayyum:Qayyum Hafeez	0.57202	0.0	0.02203	0.40455	0.0014	0.5281946332	1.6400000000000003	1.3505112869140814
Abdul Qayyum:Sardar Abdul	0.03475	0.0	0.0	0.60097	0.36428	0.5302450382	1.2345679012345676	1.3505112869140814
Abdul Qayyum:Sardar Abdul Qayyum	5.0E-4	0.00397	0.99553	0.0	0.0	0.008907978199999998	0.8888888888888891	1.3505112869140814
Abdul Raheem Garhori:Abdul Aleem Jabbar	0.14809	0.0	0.0011	0.67453	0.17629	0.5464924712	1.5000000000000007	1.3505112869140814
Abdul Raheem Garhori:Abdul Khokhar	0.14084	0.0	7.0E-5	0.82017	0.03892	0.3170592012	1.3000000000000003	1.3505112869140814
Abdul Raheem Garhori:Abdul Raheem Ghulam Rabbani	0.78208	0.0	0.04475	0.17124	0.00192	0.3756743344	1.6600000000000008	1.3505112869140814
Abdul Raheem Garhori:Abdul Rauf	3.6E-4	0.0	0.0	0.13513	0.86451	0.2349846606	0.8	1.3505112869140814
Abdul Raheem Garhori:Fakir Abdul Raheem	0.28283	0.0	2.0E-5	0.697	0.02015	0.4452197092	1.4000000000000008	1.3505112869140814
Abdul Raheem Garhori:Fakir Abdul Raheem Garhori	0.00124	1.0E-5	0.99874	0.0	0.0	0.0024968996	1.4400000000000002	1.3505112869140814
